Driver,Team,Event,Year,LapTimeSeconds,TyreCompound,TyreAge,AirTemp,TrackTemp,TrackLength,RaceDistance,NumLaps,LapNumber,TopSpeed,AvgCornerSpeed,AvgCornerEntrySpeed,AvgCornerExitSpeed,AvgStraightSpeed,AvgStraightEntrySpeed,AvgStraightExitSpeed,ThrottleMean,ThrottleStdDev,BrakeMean,BrakeStdDev,DRSMean
RUS,Mercedes,Australian Grand Prix,2025,86.239,HARD,8.0,16.6,19.3,5.303,307.574,58,42.0,305.0,149.6638655462185,164.4,185.6,261.69651741293535,293.6,286.8,71.04375,40.54910670851991,0.1875,0.390923671084804,0.996875
RUS,Mercedes,Australian Grand Prix,2025,85.065,HARD,9.0,16.6,19.3,5.303,307.574,58,43.0,306.0,149.74107142857142,170.2,175.0,259.78743961352654,298.4,290.6,72.24451410658307,39.553837520241075,0.1755485893416928,0.381033347543004,0.0
RUS,Mercedes,Australian Grand Prix,2025,91.87,INTERMEDIATE,2.0,15.7,19.3,5.303,307.574,58,46.0,306.0,140.09937888198758,162.6,177.6,261.67597765363126,297.2,285.0,65.00882352941177,40.98359170658797,0.18235294117647058,0.3867042410555139,0.0
RUS,Mercedes,Australian Grand Prix,2025,94.334,INTERMEDIATE,8.0,15.2,18.7,5.303,307.574,58,52.0,307.0,146.4920634920635,170.6,183.0,263.242774566474,294.4,283.8,62.47513812154696,41.03171789298577,0.20718232044198895,0.40584826513440486,1.0
RUS,Mercedes,Australian Grand Prix,2025,91.177,INTERMEDIATE,9.0,15.4,18.7,5.303,307.574,58,53.0,303.0,145.84076433121018,163.8,178.6,261.45197740112997,297.0,280.0,67.02395209580838,39.79707567626148,0.16167664670658682,0.3687062890175512,1.0
RUS,Mercedes,Australian Grand Prix,2025,90.41,INTERMEDIATE,10.0,15.8,18.7,5.303,307.574,58,54.0,305.0,144.718954248366,164.0,177.8,261.73770491803276,294.6,288.6,64.9375,40.55774168328115,0.19345238095238096,0.3955936224758532,0.5625
RUS,Mercedes,Australian Grand Prix,2025,90.076,INTERMEDIATE,11.0,15.9,18.7,5.303,307.574,58,55.0,304.0,145.4102564102564,167.6,176.2,262.5191256830601,295.8,287.0,66.30383480825958,40.39009871253268,0.18584070796460178,0.3895530567437922,0.0
RUS,Mercedes,Australian Grand Prix,2025,89.454,INTERMEDIATE,12.0,16.1,18.7,5.303,307.574,58,56.0,305.0,143.07534246575344,166.4,172.4,261.25531914893617,299.0,288.8,67.17664670658682,40.568134133084975,0.19161676646706588,0.3941636028150081,0.0
RUS,Mercedes,Australian Grand Prix,2025,89.117,INTERMEDIATE,13.0,16.1,18.7,5.303,307.574,58,57.0,306.0,145.5810810810811,168.2,176.4,262.92934782608694,297.4,290.2,66.25301204819277,39.78061996800866,0.19879518072289157,0.3996959496694236,0.0
ANT,Mercedes,Australian Grand Prix,2025,98.729,INTERMEDIATE,8.0,15.9,19.1,5.303,307.574,58,8.0,313.0,137.4656862745098,167.4,175.6,257.562874251497,287.0,276.4,57.889487870619945,42.00091598108936,0.22371967654986524,0.41729912418338405,1.0
